t_ms,ax,ay,az,gx,gy,gz,roll_acc,roll_filt
2820,-0.0610,-0.0365,1.0089,-20.107,-3.237,5.389,-2.07,-2.54
2840,-0.0906,-0.0436,1.0040,-21.695,-3.664,4.092,-2.49,-2.96
2860,-0.0679,-0.0529,1.0112,-23.359,-3.099,1.450,-2.99,-3.42
2880,-0.0428,-0.0593,1.0046,-24.687,-2.733,1.573,-3.38,-3.90
2900,-0.0448,-0.0718,0.9805,-24.641,-0.107,2.244,-4.19,-4.39
2920,-0.0686,-0.0751,0.9816,-23.038,2.137,2.718,-4.37,-4.84
2941,-0.0939,-0.0802,0.9983,-24.183,1.557,0.031,-4.59,-5.31
2960,-0.0458,-0.0996,0.9874,-25.420,4.046,-2.168,-5.76,-5.82
2980,-0.0393,-0.1046,0.9797,-23.954,9.328,-0.870,-6.09,-6.29
3000,-0.0807,-0.1124,0.9777,-22.702,9.664,-0.305,-6.56,-6.74
3020,-0.0934,-0.1243,0.9806,-22.473,1.985,-1.573,-7.22,-7.19
3040,-0.0840,-0.1257,0.9846,-20.321,-6.931,-0.885,-7.28,-7.59
3060,-0.0968,-0.1204,0.9890,-21.679,-9.267,-3.053,-6.94,-8.00
3080,-0.0436,-0.1460,0.9915,-22.550,-6.519,-4.550,-8.38,-8.45
3100,-0.0365,-0.1558,0.9926,-22.855,-4.336,-2.580,-8.92,-8.91
3120,-0.0656,-0.1566,0.9801,-23.053,-4.504,-1.878,-9.08,-9.37
3140,-0.0679,-0.1687,0.9763,-22.824,-4.046,-3.481,-9.80,-9.82
3160,-0.0743,-0.1741,0.9741,-21.511,-2.977,-4.977,-10.13,-10.25
3180,-0.0726,-0.1876,0.9858,-21.389,-2.275,-7.771,-10.78,-10.68
3200,-0.0269,-0.1906,0.9724,-20.977,-1.954,-7.664,-11.09,-11.10
3220,-0.0410,-0.1866,0.9813,-20.489,-4.519,-4.565,-10.77,-11.49
3240,-0.0454,-0.1947,0.9939,-22.397,-7.618,-3.863,-11.08,-11.93
3260,-0.0168,-0.2090,0.9855,-24.046,-5.725,-2.702,-11.97,-12.40
3280,0.0090,-0.2079,0.9675,-23.817,-2.366,0.595,-12.13,-12.86
3300,-0.0013,-0.2219,0.9590,-23.130,-2.641,5.878,-13.03,-13.32
3320,-0.0392,-0.2325,0.9698,-22.962,-4.427,8.458,-13.48,-13.77
3340,-0.0615,-0.2448,0.9891,-23.924,-4.153,7.679,-13.90,-14.24
3360,-0.0631,-0.2456,0.9663,-24.412,-1.359,5.008,-14.26,-14.72
3380,-0.0707,-0.2739,0.9890,-25.786,0.473,1.863,-15.48,-15.24
3400,-0.0718,-0.2540,0.9867,-28.443,1.511,-1.328,-14.44,-15.78
3420,-0.0754,-0.2593,0.9882,-33.023,5.725,-5.939,-14.70,-16.41
3440,-0.0415,-0.2659,1.0026,-39.313,10.733,-9.817,-14.85,-17.15
3460,-0.0016,-0.3170,0.9904,-42.061,15.573,-8.336,-17.75,-17.98
3480,0.0012,-0.3040,0.9678,-43.145,15.282,-3.420,-17.44,-18.82
3500,-0.0446,-0.3176,0.9600,-44.977,11.252,0.733,-18.31,-19.69
3520,-0.0564,-0.3420,0.9205,-45.450,7.511,1.191,-20.38,-20.59
3540,-0.0446,-0.3572,0.9069,-43.221,4.305,2.992,-21.50,-21.46
3560,-0.0453,-0.3879,0.9092,-40.962,0.290,5.603,-23.11,-22.29
3580,-0.0521,-0.3788,0.8998,-38.626,-2.672,7.893,-22.83,-23.06
3600,-0.0898,-0.3914,0.9054,-38.489,-4.198,7.603,-23.38,-23.82
3620,-0.0862,-0.4149,0.8969,-37.939,0.443,3.267,-24.83,-24.59
3640,-0.0315,-0.4294,0.8936,-36.611,6.153,2.519,-25.67,-25.33
3660,-0.0999,-0.4403,0.8800,-34.534,6.595,3.282,-26.58,-26.03
3680,-0.1268,-0.4448,0.8844,-33.817,6.885,-2.321,-26.70,-26.70
3700,-0.0710,-0.4709,0.8677,-31.618,6.824,-5.282,-28.49,-27.36
3720,-0.0723,-0.4749,0.8571,-28.305,2.977,-3.939,-28.99,-27.95
3740,-0.0745,-0.4755,0.8623,-25.878,-2.824,-4.000,-28.87,-28.47
3760,-0.0598,-0.4774,0.8687,-24.489,-7.908,-2.031,-28.79,-28.96
3780,-0.0776,-0.4785,0.8732,-25.069,-11.328,-1.450,-28.72,-29.45
3800,-0.0480,-0.5081,0.8691,-25.527,-5.725,-3.405,-30.31,-29.96
3820,-0.0269,-0.5125,0.8689,-25.176,0.321,-1.847,-30.53,-30.47
3840,-0.0431,-0.5120,0.8696,-25.557,-1.389,1.191,-30.49,-30.97
3860,-0.0469,-0.5201,0.8589,-25.847,-8.061,3.099,-31.20,-31.48
3880,-0.0514,-0.5226,0.8553,-26.504,-12.519,5.267,-31.42,-32.00
3900,-0.0488,-0.5361,0.8381,-25.908,-16.290,6.687,-32.61,-32.52
3920,-0.0397,-0.5491,0.8514,-25.786,-17.802,7.588,-32.82,-33.03
3940,-0.0764,-0.5419,0.8491,-26.885,-17.511,7.847,-32.54,-33.55
3960,-0.0181,-0.5720,0.8434,-28.351,-11.298,5.344,-34.15,-34.12
3980,-0.0240,-0.5585,0.8492,-29.374,-2.840,7.008,-33.33,-34.68
4000,-0.0499,-0.5687,0.8433,-32.565,6.855,3.985,-34.00,-35.30
4020,-0.0522,-0.5863,0.8115,-34.137,15.573,1.954,-35.85,-35.98
4040,-0.0610,-0.6055,0.7900,-33.115,17.023,0.260,-37.47,-36.66
4079,-0.0328,-0.6138,0.7739,-28.931,8.183,4.733,-38.42,-37.26
4083,-0.0374,-0.6169,0.7719,-28.412,6.321,5.756,-38.64,-37.85
4100,-0.0570,-0.6249,0.7587,-26.183,-0.092,8.137,-39.48,-38.39
4120,-0.0746,-0.6198,0.7700,-24.229,-2.550,8.382,-38.83,-38.87
4140,-0.0531,-0.6344,0.7813,-24.260,-1.573,7.893,-39.08,-39.35
4160,-0.0701,-0.6400,0.7605,-24.305,0.076,8.107,-40.08,-39.85
4180,-0.0835,-0.6511,0.7435,-22.565,-1.084,7.252,-41.21,-40.31
4200,-0.0620,-0.6674,0.7590,-19.924,-6.443,8.092,-41.32,-40.73
4220,-0.0793,-0.6422,0.7616,-20.000,-11.023,9.420,-40.14,-41.11
4240,-0.0686,-0.6461,0.7744,-22.305,-7.466,7.359,-39.84,-41.52
4260,-0.0706,-0.6661,0.7698,-25.176,-0.824,6.641,-40.87,-42.00
4280,-0.0797,-0.6740,0.7283,-25.267,2.534,4.763,-42.78,-42.51
4300,-0.0912,-0.7186,0.7073,-22.076,-0.107,3.756,-45.46,-43.00
4320,-0.1000,-0.7086,0.6787,-16.443,-3.786,1.527,-46.23,-43.39
4340,-0.0963,-0.7048,0.6813,-11.298,-5.450,-0.992,-45.97,-43.66
4360,-0.1001,-0.6975,0.6943,-7.344,-5.466,-3.527,-45.13,-43.83
4380,-0.0934,-0.7048,0.7114,-5.420,-1.786,-8.214,-44.73,-43.96
4400,-0.0516,-0.7083,0.7145,-4.198,4.107,-9.893,-44.75,-44.06
4420,-0.0457,-0.7085,0.7239,-3.084,3.954,-8.351,-44.38,-44.12
4440,-0.0581,-0.7013,0.7284,-2.412,-0.992,-6.733,-43.91,-44.17
4460,-0.0581,-0.6923,0.7307,-3.252,-3.847,-5.771,-43.45,-44.22
4480,-0.0385,-0.7019,0.7454,-4.870,0.076,-6.427,-43.28,-44.29
4500,-0.0262,-0.6932,0.7458,-7.588,2.595,-4.290,-42.91,-44.41
4520,-0.0339,-0.6998,0.7250,-8.855,-0.366,-1.237,-43.99,-44.58
4540,-0.0492,-0.7074,0.7188,-9.176,-4.931,0.763,-44.54,-44.76
4560,-0.0326,-0.7083,0.7249,-9.740,-5.328,2.290,-44.34,-44.94
4580,-0.0453,-0.7039,0.7000,-10.229,-4.443,3.756,-45.16,-45.15
4600,-0.0620,-0.7122,0.6992,-9.313,-3.603,3.588,-45.53,-45.34
4620,-0.0320,-0.7330,0.7129,-8.794,-1.847,3.420,-45.80,-45.52
4640,-0.0216,-0.7228,0.7128,-8.977,-2.443,6.397,-45.40,-45.69
4660,-0.0642,-0.7155,0.6826,-8.473,-6.382,8.061,-46.35,-45.87
4680,-0.0635,-0.7191,0.6873,-7.008,-7.924,7.176,-46.30,-46.02
4700,-0.0593,-0.7335,0.7009,-6.443,-4.260,5.588,-46.30,-46.15
4720,-0.0553,-0.7332,0.6978,-6.565,0.595,4.244,-46.42,-46.28
4741,-0.0687,-0.7351,0.6851,-5.802,1.252,2.885,-47.02,-46.41
4760,-0.0703,-0.7251,0.6838,-4.336,-0.580,1.985,-46.68,-46.50
4780,-0.0909,-0.7245,0.7079,-4.565,-1.481,-0.275,-45.66,-46.57
4800,-0.0625,-0.7311,0.6956,-5.359,2.687,-1.679,-46.43,-46.68
4820,-0.0544,-0.7395,0.6833,-5.053,4.885,-3.282,-47.26,-46.79
4840,-0.0544,-0.7369,0.6711,-3.038,4.763,-2.977,-47.68,-46.86
4860,-0.0479,-0.7358,0.6829,-1.695,1.099,-2.031,-47.14,-46.90
4880,-0.0500,-0.7390,0.6816,-0.504,-0.107,-0.595,-47.31,-46.92
4900,-0.0675,-0.7423,0.6826,0.489,0.763,-1.328,-47.40,-46.92
4920,-0.0551,-0.7257,0.6980,0.244,0.580,-2.290,-46.12,-46.90
4940,-0.0376,-0.7356,0.7000,-0.687,0.397,-0.718,-46.42,-46.90
4960,-0.0469,-0.7395,0.6942,-1.053,-0.260,0.855,-46.81,-46.92
4980,-0.0472,-0.7316,0.6967,-1.542,0.458,1.282,-46.40,-46.94
5000,-0.0439,-0.7321,0.7029,-2.198,-0.275,2.443,-46.16,-46.97
5020,-0.0553,-0.7354,0.6858,-2.702,-0.122,3.664,-47.00,-47.02
5040,-0.0713,-0.7379,0.6768,-1.985,0.260,2.931,-47.48,-47.07
5060,-0.0638,-0.7406,0.6868,-1.099,1.176,1.573,-47.16,-47.09
5080,-0.0439,-0.7382,0.6852,-1.084,2.046,2.321,-47.13,-47.12
5100,-0.0778,-0.7416,0.6686,0.168,1.725,2.397,-47.96,-47.13
